index,YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
48,2001,1,AL,Industrial Power,Wood and Wood Derived Fuels,376658
49,2001,1,AL,Industrial Power,Other Biomass,1694
50,2001,1,AL,Industrial Power,Other,885
52,2001,1,AR,Total Electric Power,Coal,2149808
53,2001,1,AR,Total Electric Power,Petroleum,124389
54,2001,1,AR,Total Electric Power,Natural Gas,191970
55,2001,1,AR,Total Electric Power,Nuclear,1028544
56,2001,1,AR,Total Electric Power,Hydroelectric Conventional,272026
57,2001,1,AR,Total Electric Power,Wood and Wood Derived Fuels,135977
58,2001,1,AR,Total Electric Power,Other Biomass,553
59,2001,1,AR,Total Electric Power,Other,56
61,2001,1,AR,Electric Utilities,Coal,2135834
62,2001,1,AR,Electric Utilities,Petroleum,116283
63,2001,1,AR,Electric Utilities,Natural Gas,151188
64,2001,1,AR,Electric Utilities,Nuclear,1028544
65,2001,1,AR,Electric Utilities,Hydroelectric Conventional,272023
67,2001,1,AR,Independent Power Producers,Hydroelectric Conventional,3
69,2001,1,AR,Commercial Power,Natural Gas,270
70,2001,1,AR,Commercial Power,Other Biomass,419
72,2001,1,AR,Industrial Power,Coal,13974
73,2001,1,AR,Industrial Power,Petroleum,8106
74,2001,1,AR,Industrial Power,Natural Gas,40512
75,2001,1,AR,Industrial Power,Wood and Wood Derived Fuels,135977
76,2001,1,AR,Industrial Power,Other Biomass,134
77,2001,1,AR,Industrial Power,Other,56
79,2001,1,AZ,Total Electric Power,Coal,3418454
80,2001,1,AZ,Total Electric Power,Petroleum,143626
81,2001,1,AZ,Total Electric Power,Natural Gas,651812
82,2001,1,AZ,Total Electric Power,Nuclear,2733255
83,2001,1,AZ,Total Electric Power,Hydroelectric Conventional,607969
84,2001,1,AZ,Total Electric Power,Solar Thermal and Photovoltaic,0
85,2001,1,AZ,Total Electric Power,Other Biomass,453
86,2001,1,AZ,Total Electric Power,Pumped Storage,18356
88,2001,1,AZ,Electric Utilities,Coal,3385613
89,2001,1,AZ,Electric Utilities,Petroleum,143514
90,2001,1,AZ,Electric Utilities,Natural Gas,609804
91,2001,1,AZ,Electric Utilities,Nuclear,2733255
92,2001,1,AZ,Electric Utilities,Hydroelectric Conventional,607969
93,2001,1,AZ,Electric Utilities,Solar Thermal and Photovoltaic,0
94,2001,1,AZ,Electric Utilities,Other Biomass,0
95,2001,1,AZ,Electric Utilities,Pumped Storage,18356
97,2001,1,AZ,Electric Power,Natural Gas,40812
99,2001,1,AZ,Commercial Power,Petroleum,12
100,2001,1,AZ,Commercial Power,Natural Gas,1192
101,2001,1,AZ,Commercial Power,Other Biomass,453
103,2001,1,AZ,Industrial Power,Coal,32841
104,2001,1,AZ,Industrial Power,Petroleum,100
105,2001,1,AZ,Industrial Power,Natural Gas,4
107,2001,1,CA,Total Electric Power,Coal,199857
108,2001,1,CA,Total Electric Power,Petroleum,459703
109,2001,1,CA,Total Electric Power,Natural Gas,10192494
110,2001,1,CA,Total Electric Power,Other Gases,97569
111,2001,1,CA,Total Electric Power,Nuclear,2379998
112,2001,1,CA,Total Electric Power,Hydroelectric Conventional,1590096
113,2001,1,CA,Total Electric Power,Wind,133423
114,2001,1,CA,Total Electric Power,Solar Thermal and Photovoltaic,6500
115,2001,1,CA,Total Electric Power,Wood and Wood Derived Fuels,313245
116,2001,1,CA,Total Electric Power,Geothermal,1085733
117,2001,1,CA,Total Electric Power,Other Biomass,178497
118,2001,1,CA,Total Electric Power,Pumped Storage,-36255
119,2001,1,CA,Total Electric Power,Other,18027
121,2001,1,CA,Electric Utilities,Petroleum,56442
122,2001,1,CA,Electric Utilities,Natural Gas,1229547
123,2001,1,CA,Electric Utilities,Nuclear,2379998
124,2001,1,CA,Electric Utilities,Hydroelectric Conventional,1539067
125,2001,1,CA,Electric Utilities,Wind,160
126,2001,1,CA,Electric Utilities,Solar Thermal and Photovoltaic,29
127,2001,1,CA,Electric Utilities,Geothermal,-45
128,2001,1,CA,Electric Utilities,Other Biomass,18428
129,2001,1,CA,Electric Utilities,Pumped Storage,-36255
131,2001,1,CA,Independent Power Producers,Petroleum,272408
132,2001,1,CA,Independent Power Producers,Natural Gas,5882306
133,2001,1,CA,Independent Power Producers,Other Gases,0
134,2001,1,CA,Independent Power Producers,Hydroelectric Conventional,51029
135,2001,1,CA,Independent Power Producers,Wind,133263
136,2001,1,CA,Independent Power Producers,Solar Thermal and Photovoltaic,6471
137,2001,1,CA,Independent Power Producers,Wood and Wood Derived Fuels,182078
138,2001,1,CA,Independent Power Producers,Geothermal,1085778
139,2001,1,CA,Independent Power Producers,Other Biomass,134581
140,2001,1,CA,Independent Power Producers,Other,16604
142,2001,1,CA,Electric Power,Coal,156123
143,2001,1,CA,Electric Power,Petroleum,73191
144,2001,1,CA,Electric Power,Natural Gas,1779681
145,2001,1,CA,Electric Power,Other Gases,73
146,2001,1,CA,Electric Power,Wood and Wood Derived Fuels,17618
147,2001,1,CA,Electric Power,Other Biomass,6997
148,2001,1,CA,Electric Power,Other,68
150,2001,1,CA,Commercial Power,Petroleum,107
151,2001,1,CA,Commercial Power,Natural Gas,146713
152,2001,1,CA,Commercial Power,Other Biomass,16366
154,2001,1,CA,Industrial Power,Coal,43734
155,2001,1,CA,Industrial Power,Petroleum,57555
156,2001,1,CA,Industrial Power,Natural Gas,1154247
157,2001,1,CA,Industrial Power,Other Gases,97496
158,2001,1,CA,Industrial Power,Wood and Wood Derived Fuels,113549
159,2001,1,CA,Industrial Power,Other Biomass,2125
160,2001,1,CA,Industrial Power,Other,1355
162,2001,1,CO,Total Electric Power,Coal,3245939
163,2001,1,CO,Total Electric Power,Petroleum,20510
164,2001,1,CO,Total Electric Power,Natural Gas,785000
165,2001,1,CO,Total Electric Power,Hydroelectric Conventional,111346
166,2001,1,CO,Total Electric Power,Wind,4158
167,2001,1,CO,Total Electric Power,Other Biomass,5160
168,2001,1,CO,Total Electric Power,Pumped Storage,-8660
169,2001,1,CO,Total Electric Power,Other,0
171,2001,1,CO,Electric Utilities,Coal,3222822
172,2001,1,CO,Electric Utilities,Petroleum,19148
173,2001,1,CO,Electric Utilities,Natural Gas,316815
174,2001,1,CO,Electric Utilities,Hydroelectric Conventional,109628
175,2001,1,CO,Electric Utilities,Wind,4158
176,2001,1,CO,Electric Utilities,Other Biomass,0
177,2001,1,CO,Electric Utilities,Pumped Storage,-8660
178,2001,1,CO,Electric Utilities,Other,0
180,2001,1,CO,Independent Power Producers,Natural Gas,227251
181,2001,1,CO,Independent Power Producers,Hydroelectric Conventional,1718
183,2001,1,CO,Electric Power,Coal,23117
184,2001,1,CO,Electric Power,Petroleum,39
185,2001,1,CO,Electric Power,Natural Gas,221956
186,2001,1,CO,Electric Power,Other Biomass,2500
188,2001,1,CO,Commercial Power,Natural Gas,14017
189,2001,1,CO,Commercial Power,Other Biomass,2660
191,2001,1,CO,Industrial Power,Petroleum,1323
192,2001,1,CO,Industrial Power,Natural Gas,4961
194,2001,1,CT,Total Electric Power,Coal,327541
195,2001,1,CT,Total Electric Power,Petroleum,923930
196,2001,1,CT,Total Electric Power,Natural Gas,125845
197,2001,1,CT,Total Electric Power,Other Gases,137
198,2001,1,CT,Total Electric Power,Nuclear,1366126
199,2001,1,CT,Total Electric Power,Hydroelectric Conventional,37537
200,2001,1,CT,Total Electric Power,Other Biomass,74757
201,2001,1,CT,Total Electric Power,Pumped Storage,0
202,2001,1,CT,Total Electric Power,Other,74561
204,2001,1,CT,Electric Utilities,Petroleum,1065
205,2001,1,CT,Electric Utilities,Natural Gas,0
206,2001,1,CT,Electric Utilities,Nuclear,1366126
207,2001,1,CT,Electric Utilities,Hydroelectric Conventional,14562
208,2001,1,CT,Electric Utilities,Other Biomass,16824
209,2001,1,CT,Electric Utilities,Other,12691
211,2001,1,CT,Independent Power Producers,Coal,201266
212,2001,1,CT,Independent Power Producers,Petroleum,919818
213,2001,1,CT,Independent Power Producers,Natural Gas,48288
214,2001,1,CT,Independent Power Producers,Other Gases,137
215,2001,1,CT,Independent Power Producers,Hydroelectric Conventional,22975
216,2001,1,CT,Independent Power Producers,Other Biomass,57934
217,2001,1,CT,Independent Power Producers,Pumped Storage,0
218,2001,1,CT,Independent Power Producers,Other,61869
220,2001,1,CT,Electric Power,Coal,126275
221,2001,1,CT,Electric Power,Petroleum,336
222,2001,1,CT,Electric Power,Natural Gas,63643
224,2001,1,CT,Commercial Power,Petroleum,340
225,2001,1,CT,Commercial Power,Natural Gas,1914
227,2001,1,CT,Industrial Power,Petroleum,2371
228,2001,1,CT,Industrial Power,Natural Gas,12000
230,2001,1,DC,Total Electric Power,Petroleum,9251
232,2001,1,DC,Independent Power Producers,Petroleum,9251
234,2001,1,DE,Total Electric Power,Coal,474117
235,2001,1,DE,Total Electric Power,Petroleum,132408
236,2001,1,DE,Total Electric Power,Natural Gas,7062
237,2001,1,DE,Total Electric Power,Other Gases,12552
239,2001,1,DE,Electric Utilities,Coal,347571
240,2001,1,DE,Electric Utilities,Petroleum,24897
241,2001,1,DE,Electric Utilities,Natural Gas,650
243,2001,1,DE,Independent Power Producers,Coal,118905
244,2001,1,DE,Independent Power Producers,Petroleum,80021
245,2001,1,DE,Independent Power Producers,Natural Gas,6412
247,2001,1,DE,Industrial Power,Coal,7641
248,2001,1,DE,Industrial Power,Petroleum,27490
249,2001,1,DE,Industrial Power,Other Gases,12552
251,2001,1,FL,Total Electric Power,Coal,6721861
252,2001,1,FL,Total Electric Power,Petroleum,4496351
253,2001,1,FL,Total Electric Power,Natural Gas,2203652
254,2001,1,FL,Total Electric Power,Other Gases,9
255,2001,1,FL,Total Electric Power,Nuclear,2942999
256,2001,1,FL,Total Electric Power,Hydroelectric Conventional,7830
257,2001,1,FL,Total Electric Power,Wood and Wood Derived Fuels,163756
258,2001,1,FL,Total Electric Power,Other Biomass,170974
259,2001,1,FL,Total Electric Power,Other,229849
261,2001,1,FL,Electric Utilities,Coal,6266599
262,2001,1,FL,Electric Utilities,Petroleum,4362808
263,2001,1,FL,Electric Utilities,Natural Gas,1660211
264,2001,1,FL,Electric Utilities,Nuclear,2942999
265,2001,1,FL,Electric Utilities,Hydroelectric Conventional,7830
266,2001,1,FL,Electric Utilities,Other Biomass,9484
267,2001,1,FL,Electric Utilities,Other,1390
269,2001,1,FL,Independent Power Producers,Petroleum,106294
270,2001,1,FL,Independent Power Producers,Natural Gas,80070
271,2001,1,FL,Independent Power Producers,Other Gases,9
272,2001,1,FL,Independent Power Producers,Wood and Wood Derived Fuels,19767
273,2001,1,FL,Independent Power Producers,Other Biomass,143217
274,2001,1,FL,Independent Power Producers,Other,108117
276,2001,1,FL,Electric Power,Coal,426506
277,2001,1,FL,Electric Power,Petroleum,0
278,2001,1,FL,Electric Power,Natural Gas,372617
279,2001,1,FL,Electric Power,Other Biomass,480
280,2001,1,FL,Electric Power,Other,362
282,2001,1,FL,Commercial Power,Natural Gas,5850
283,2001,1,FL,Commercial Power,Other Biomass,3918
285,2001,1,FL,Industrial Power,Coal,28756
286,2001,1,FL,Industrial Power,Petroleum,27249
287,2001,1,FL,Industrial Power,Natural Gas,84904
288,2001,1,FL,Industrial Power,Wood and Wood Derived Fuels,143989
289,2001,1,FL,Industrial Power,Other Biomass,13875
290,2001,1,FL,Industrial Power,Other,119980
292,2001,1,GA,Total Electric Power,Coal,7258909
293,2001,1,GA,Total Electric Power,Petroleum,217585
294,2001,1,GA,Total Electric Power,Natural Gas,77667
295,2001,1,GA,Total Electric Power,Nuclear,3064367
296,2001,1,GA,Total Electric Power,Hydroelectric Conventional,239920
297,2001,1,GA,Total Electric Power,Wood and Wood Derived Fuels,258328
298,2001,1,GA,Total Electric Power,Other Biomass,2206
299,2001,1,GA,Total Electric Power,Pumped Storage,-35515
300,2001,1,GA,Total Electric Power,Other,615
302,2001,1,GA,Electric Utilities,Coal,7151277
303,2001,1,GA,Electric Utilities,Petroleum,89920
304,2001,1,GA,Electric Utilities,Natural Gas,1913
305,2001,1,GA,Electric Utilities,Nuclear,3064367
306,2001,1,GA,Electric Utilities,Hydroelectric Conventional,237618
307,2001,1,GA,Electric Utilities,Pumped Storage,-35515
309,2001,1,GA,Independent Power Producers,Petroleum,31262
310,2001,1,GA,Independent Power Producers,Natural Gas,28207
311,2001,1,GA,Independent Power Producers,Hydroelectric Conventional,161
312,2001,1,GA,Independent Power Producers,Other Biomass,1420
314,2001,1,GA,Electric Power,Petroleum,1791
315,2001,1,GA,Electric Power,Natural Gas,7545
317,2001,1,GA,Commercial Power,Petroleum,358
318,2001,1,GA,Commercial Power,Natural Gas,0
320,2001,1,GA,Industrial Power,Coal,107632
321,2001,1,GA,Industrial Power,Petroleum,94254
322,2001,1,GA,Industrial Power,Natural Gas,40002
323,2001,1,GA,Industrial Power,Hydroelectric Conventional,2141
324,2001,1,GA,Industrial Power,Wood and Wood Derived Fuels,258328
325,2001,1,GA,Industrial Power,Other Biomass,786
326,2001,1,GA,Industrial Power,Other,615
328,2001,1,HI,Total Electric Power,Coal,134161
329,2001,1,HI,Total Electric Power,Petroleum,725556
330,2001,1,HI,Total Electric Power,Natural Gas,0
331,2001,1,HI,Total Electric Power,Other Gases,3980
332,2001,1,HI,Total Electric Power,Hydroelectric Conventional,6613
333,2001,1,HI,Total Electric Power,Wind,109
334,2001,1,HI,Total Electric Power,Geothermal,21137
335,2001,1,HI,Total Electric Power,Other Biomass,21098
336,2001,1,HI,Total Electric Power,Other,11919
338,2001,1,HI,Electric Utilities,Petroleum,523189
339,2001,1,HI,Electric Utilities,Hydroelectric Conventional,373
340,2001,1,HI,Electric Utilities,Wind,108
342,2001,1,HI,Independent Power Producers,Hydroelectric Conventional,2712
343,2001,1,HI,Independent Power Producers,Wind,1
344,2001,1,HI,Independent Power Producers,Geothermal,21137
345,2001,1,HI,Independent Power Producers,Other Biomass,16423
346,2001,1,HI,Independent Power Producers,Other,11919
348,2001,1,HI,Electric Power,Coal,129926
349,2001,1,HI,Electric Power,Petroleum,137464
350,2001,1,HI,Electric Power,Natural Gas,0
352,2001,1,HI,Industrial Power,Coal,4235
353,2001,1,HI,Industrial Power,Petroleum,64903
354,2001,1,HI,Industrial Power,Other Gases,3980
355,2001,1,HI,Industrial Power,Hydroelectric Conventional,3528
356,2001,1,HI,Industrial Power,Other Biomass,4675
357,2001,1,HI,Industrial Power,Other,0
359,2001,1,IA,Total Electric Power,Coal,3230308
360,2001,1,IA,Total Electric Power,Petroleum,5328
361,2001,1,IA,Total Electric Power,Natural Gas,23761
362,2001,1,IA,Total Electric Power,Nuclear,382045
363,2001,1,IA,Total Electric Power,Hydroelectric Conventional,66640
364,2001,1,IA,Total Electric Power,Wind,43633
365,2001,1,IA,Total Electric Power,Other Biomass,8997
366,2001,1,IA,Total Electric Power,Other,561
368,2001,1,IA,Electric Utilities,Coal,3120288
369,2001,1,IA,Electric Utilities,Petroleum,4051
370,2001,1,IA,Electric Utilities,Natural Gas,13780
371,2001,1,IA,Electric Utilities,Nuclear,382045
372,2001,1,IA,Electric Utilities,Hydroelectric Conventional,65365
373,2001,1,IA,Electric Utilities,Wind,1030
374,2001,1,IA,Electric Utilities,Other Biomass,2996
375,2001,1,IA,Electric Utilities,Other,561
377,2001,1,IA,Independent Power Producers,Petroleum,709
378,2001,1,IA,Independent Power Producers,Hydroelectric Conventional,1275
379,2001,1,IA,Independent Power Producers,Wind,42603
381,2001,1,IA,Electric Power,Coal,10082
382,2001,1,IA,Electric Power,Other Biomass,4749
384,2001,1,IA,Commercial Power,Coal,10448
385,2001,1,IA,Commercial Power,Petroleum,501
386,2001,1,IA,Commercial Power,Natural Gas,992
387,2001,1,IA,Commercial Power,Other Biomass,1252
389,2001,1,IA,Industrial Power,Coal,89490
390,2001,1,IA,Industrial Power,Petroleum,67
391,2001,1,IA,Industrial Power,Natural Gas,8989
393,2001,1,ID,Total Electric Power,Coal,4716
394,2001,1,ID,Total Electric Power,Petroleum,926
395,2001,1,ID,Total Electric Power,Natural Gas,20201
396,2001,1,ID,Total Electric Power,Hydroelectric Conventional,526211
397,2001,1,ID,Total Electric Power,Wood and Wood Derived Fuels,43491
398,2001,1,ID,Total Electric Power,Other,9793
400,2001,1,ID,Electric Utilities,Petroleum,926
401,2001,1,ID,Electric Utilities,Hydroelectric Conventional,504154
403,2001,1,ID,Independent Power Producers,Hydroelectric Conventional,22057
405,2001,1,ID,Electric Power,Natural Gas,10643
406,2001,1,ID,Electric Power,Wood and Wood Derived Fuels,2489
408,2001,1,ID,Industrial Power,Coal,4716
409,2001,1,ID,Industrial Power,Natural Gas,9558
410,2001,1,ID,Industrial Power,Wood and Wood Derived Fuels,41002
411,2001,1,ID,Industrial Power,Other,9793
413,2001,1,IL,Total Electric Power,Coal,7539572
414,2001,1,IL,Total Electric Power,Petroleum,17066
415,2001,1,IL,Total Electric Power,Natural Gas,137681
416,2001,1,IL,Total Electric Power,Other Gases,28111
417,2001,1,IL,Total Electric Power,Nuclear,8237539
418,2001,1,IL,Total Electric Power,Hydroelectric Conventional,12599
419,2001,1,IL,Total Electric Power,Other Biomass,59136
420,2001,1,IL,Total Electric Power,Other,7665
422,2001,1,IL,Electric Utilities,Coal,2825263
423,2001,1,IL,Electric Utilities,Petroleum,5172
424,2001,1,IL,Electric Utilities,Natural Gas,9770
425,2001,1,IL,Electric Utilities,Hydroelectric Conventional,5487
426,2001,1,IL,Electric Utilities,Other Biomass,4534
427,2001,1,IL,Electric Utilities,Other,3420
429,2001,1,IL,Independent Power Producers,Coal,4534192
430,2001,1,IL,Independent Power Producers,Petroleum,10234
431,2001,1,IL,Independent Power Producers,Natural Gas,31878
432,2001,1,IL,Independent Power Producers,Nuclear,8237539
433,2001,1,IL,Independent Power Producers,Hydroelectric Conventional,6846
434,2001,1,IL,Independent Power Producers,Other Biomass,33405
435,2001,1,IL,Independent Power Producers,Other,3115
437,2001,1,IL,Electric Power,Coal,7759
438,2001,1,IL,Electric Power,Natural Gas,43160
439,2001,1,IL,Electric Power,Other Biomass,15128
441,2001,1,IL,Commercial Power,Coal,2911
442,2001,1,IL,Commercial Power,Petroleum,311
443,2001,1,IL,Commercial Power,Natural Gas,17791
444,2001,1,IL,Commercial Power,Hydroelectric Conventional,266
445,2001,1,IL,Commercial Power,Other Biomass,10
447,2001,1,IL,Industrial Power,Coal,169447
448,2001,1,IL,Industrial Power,Petroleum,1349
449,2001,1,IL,Industrial Power,Natural Gas,35082
450,2001,1,IL,Industrial Power,Other Gases,28111
451,2001,1,IL,Industrial Power,Other Biomass,6059
452,2001,1,IL,Industrial Power,Other,1130
454,2001,1,IN,Total Electric Power,Coal,10474896
455,2001,1,IN,Total Electric Power,Petroleum,46184
456,2001,1,IN,Total Electric Power,Natural Gas,156226
457,2001,1,IN,Total Electric Power,Other Gases,208592
458,2001,1,IN,Total Electric Power,Hydroelectric Conventional,51662
459,2001,1,IN,Total Electric Power,Other Biomass,8617
460,2001,1,IN,Total Electric Power,Other,1245
462,2001,1,IN,Electric Utilities,Coal,10192860
463,2001,1,IN,Electric Utilities,Petroleum,35753
464,2001,1,IN,Electric Utilities,Natural Gas,54281
465,2001,1,IN,Electric Utilities,Hydroelectric Conventional,51662
467,2001,1,IN,Independent Power Producers,Coal,261920
468,2001,1,IN,Independent Power Producers,Natural Gas,34553
469,2001,1,IN,Independent Power Producers,Other Biomass,6967
471,2001,1,IN,Electric Power,Coal,501
472,2001,1,IN,Electric Power,Petroleum,0
473,2001,1,IN,Electric Power,Natural Gas,73
474,2001,1,IN,Electric Power,Other Gases,356
476,2001,1,IN,Commercial Power,Coal,15102
477,2001,1,IN,Commercial Power,Petroleum,236
478,2001,1,IN,Commercial Power,Natural Gas,957
479,2001,1,IN,Commercial Power,Other Biomass,1650
480,2001,1,IN,Commercial Power,Other,1245
482,2001,1,IN,Industrial Power,Coal,4513
483,2001,1,IN,Industrial Power,Petroleum,10195
484,2001,1,IN,Industrial Power,Natural Gas,66362
485,2001,1,IN,Industrial Power,Other Gases,208236
487,2001,1,KS,Total Electric Power,Coal,3054603
488,2001,1,KS,Total Electric Power,Petroleum,101892
489,2001,1,KS,Total Electric Power,Natural Gas,63439
490,2001,1,KS,Total Electric Power,Nuclear,888118
492,2001,1,KS,Electric Utilities,Coal,3054603
493,2001,1,KS,Electric Utilities,Petroleum,101698
494,2001,1,KS,Electric Utilities,Natural Gas,60414
495,2001,1,KS,Electric Utilities,Nuclear,888118
497,2001,1,KS,Commercial Power,Natural Gas,157
499,2001,1,KS,Industrial Power,Petroleum,194
500,2001,1,KS,Industrial Power,Natural Gas,2868
502,2001,1,KY,Total Electric Power,Coal,7894331
503,2001,1,KY,Total Electric Power,Petroleum,7214
504,2001,1,KY,Total Electric Power,Natural Gas,22234
505,2001,1,KY,Total Electric Power,Hydroelectric Conventional,193594
506,2001,1,KY,Total Electric Power,Wood and Wood Derived Fuels,863
508,2001,1,KY,Electric Utilities,Coal,6851893
509,2001,1,KY,Electric Utilities,Petroleum,7099
510,2001,1,KY,Electric Utilities,Natural Gas,4986
511,2001,1,KY,Electric Utilities,Hydroelectric Conventional,193594
513,2001,1,KY,Independent Power Producers,Coal,1042438
514,2001,1,KY,Independent Power Producers,Petroleum,115
515,2001,1,KY,Independent Power Producers,Natural Gas,611
517,2001,1,KY,Industrial Power,Natural Gas,16637
518,2001,1,KY,Industrial Power,Wood and Wood Derived Fuels,863
520,2001,1,LA,Total Electric Power,Coal,2127592
521,2001,1,LA,Total Electric Power,Petroleum,801829
522,2001,1,LA,Total Electric Power,Natural Gas,2775763
523,2001,1,LA,Total Electric Power,Other Gases,34910
524,2001,1,LA,Total Electric Power,Nuclear,1539420
525,2001,1,LA,Total Electric Power,Hydroelectric Conventional,6457
526,2001,1,LA,Total Electric Power,Wood and Wood Derived Fuels,219594
527,2001,1,LA,Total Electric Power,Other Biomass,6582
528,2001,1,LA,Total Electric Power,Other,82856
530,2001,1,LA,Electric Utilities,Coal,1150316
531,2001,1,LA,Electric Utilities,Petroleum,630237
532,2001,1,LA,Electric Utilities,Natural Gas,1278668
533,2001,1,LA,Electric Utilities,Nuclear,1539420
535,2001,1,LA,Independent Power Producers,Coal,970051
536,2001,1,LA,Independent Power Producers,Petroleum,14205
537,2001,1,LA,Independent Power Producers,Natural Gas,7229
538,2001,1,LA,Independent Power Producers,Hydroelectric Conventional,6457
539,2001,1,LA,Independent Power Producers,Other Biomass,5749
541,2001,1,LA,Electric Power,Petroleum,154205
543,2001,1,LA,Commercial Power,Natural Gas,1907
545,2001,1,LA,Industrial Power,Coal,7225
546,2001,1,LA,Industrial Power,Petroleum,3182
547,2001,1,LA,Industrial Power,Natural Gas,1487959
548,2001,1,LA,Industrial Power,Other Gases,34910
549,2001,1,LA,Industrial Power,Wood and Wood Derived Fuels,219594
550,2001,1,LA,Industrial Power,Other Biomass,833
551,2001,1,LA,Industrial Power,Other,82856
553,2001,1,MA,Total Electric Power,Coal,1125766
554,2001,1,MA,Total Electric Power,Petroleum,1328693
555,2001,1,MA,Total Electric Power,Natural Gas,626005
556,2001,1,MA,Total Electric Power,Nuclear,491137
557,2001,1,MA,Total Electric Power,Hydroelectric Conventional,105826
558,2001,1,MA,Total Electric Power,Wood and Wood Derived Fuels,12773
559,2001,1,MA,Total Electric Power,Other Biomass,99838
560,2001,1,MA,Total Electric Power,Pumped Storage,-51955
561,2001,1,MA,Total Electric Power,Other,63860
563,2001,1,MA,Electric Utilities,Coal,92598
564,2001,1,MA,Electric Utilities,Petroleum,36160
565,2001,1,MA,Electric Utilities,Natural Gas,4299
566,2001,1,MA,Electric Utilities,Hydroelectric Conventional,12546
568,2001,1,MA,Independent Power Producers,Coal,1028283
569,2001,1,MA,Independent Power Producers,Petroleum,1221762
570,2001,1,MA,Independent Power Producers,Natural Gas,149901
571,2001,1,MA,Independent Power Producers,Nuclear,491137
572,2001,1,MA,Independent Power Producers,Hydroelectric Conventional,92092
573,2001,1,MA,Independent Power Producers,Wood and Wood Derived Fuels,12751
574,2001,1,MA,Independent Power Producers,Other Biomass,84411
575,2001,1,MA,Independent Power Producers,Pumped Storage,-51955
576,2001,1,MA,Independent Power Producers,Other,61538
578,2001,1,MA,Electric Power,Petroleum,36376
579,2001,1,MA,Electric Power,Natural Gas,429239
580,2001,1,MA,Electric Power,Wood and Wood Derived Fuels,22
581,2001,1,MA,Electric Power,Other Biomass,13414
582,2001,1,MA,Electric Power,Other,2322
584,2001,1,MA,Commercial Power,Petroleum,11673
585,2001,1,MA,Commercial Power,Natural Gas,32888
586,2001,1,MA,Commercial Power,Hydroelectric Conventional,0
587,2001,1,MA,Commercial Power,Other Biomass,2013
589,2001,1,MA,Industrial Power,Coal,4885
590,2001,1,MA,Industrial Power,Petroleum,22722
591,2001,1,MA,Industrial Power,Natural Gas,9678
592,2001,1,MA,Industrial Power,Hydroelectric Conventional,1188
594,2001,1,MD,Total Electric Power,Coal,2744346
595,2001,1,MD,Total Electric Power,Petroleum,365825
596,2001,1,MD,Total Electric Power,Natural Gas,54407
597,2001,1,MD,Total Electric Power,Other Gases,28603
598,2001,1,MD,Total Electric Power,Nuclear,1293872
599,2001,1,MD,Total Electric Power,Hydroelectric Conventional,71864
600,2001,1,MD,Total Electric Power,Wood and Wood Derived Fuels,1054
601,2001,1,MD,Total Electric Power,Other Biomass,25585
602,2001,1,MD,Total Electric Power,Other,16988
604,2001,1,MD,Electric Utilities,Petroleum,18716
605,2001,1,MD,Electric Utilities,Natural Gas,77
607,2001,1,MD,Independent Power Producers,Coal,2620463
