index,YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
0,2001,1,AK,Total Electric Power,Coal,46903
1,2001,1,AK,Total Electric Power,Petroleum,71085
2,2001,1,AK,Total Electric Power,Natural Gas,367521
3,2001,1,AK,Total Electric Power,Hydroelectric Conventional,104549
4,2001,1,AK,Total Electric Power,Wind,87
6,2001,1,AK,Electric Utilities,Coal,18410
7,2001,1,AK,Electric Utilities,Petroleum,64883
8,2001,1,AK,Electric Utilities,Natural Gas,305277
9,2001,1,AK,Electric Utilities,Hydroelectric Conventional,104549
10,2001,1,AK,Electric Utilities,Wind,87
12,2001,1,AK,Electric Power,Coal,19742
13,2001,1,AK,Electric Power,Petroleum,213
15,2001,1,AK,Commercial Power,Coal,8751
16,2001,1,AK,Commercial Power,Petroleum,1073
18,2001,1,AK,Industrial Power,Petroleum,4916
19,2001,1,AK,Industrial Power,Natural Gas,62244
21,2001,1,AL,Total Electric Power,Coal,6557913
22,2001,1,AL,Total Electric Power,Petroleum,107497
23,2001,1,AL,Total Electric Power,Natural Gas,566478
24,2001,1,AL,Total Electric Power,Other Gases,25283
25,2001,1,AL,Total Electric Power,Nuclear,2940300
26,2001,1,AL,Total Electric Power,Hydroelectric Conventional,727118
27,2001,1,AL,Total Electric Power,Wood and Wood Derived Fuels,399474
28,2001,1,AL,Total Electric Power,Other Biomass,1694
29,2001,1,AL,Total Electric Power,Other,885
31,2001,1,AL,Electric Utilities,Coal,6483983
32,2001,1,AL,Electric Utilities,Petroleum,70135
33,2001,1,AL,Electric Utilities,Natural Gas,473253
34,2001,1,AL,Electric Utilities,Nuclear,2940300
35,2001,1,AL,Electric Utilities,Hydroelectric Conventional,727118
37,2001,1,AL,Independent Power Producers,Natural Gas,417
39,2001,1,AL,Electric Power,Coal,25099
40,2001,1,AL,Electric Power,Petroleum,35
41,2001,1,AL,Electric Power,Natural Gas,24
42,2001,1,AL,Electric Power,Wood and Wood Derived Fuels,22816
44,2001,1,AL,Industrial Power,Coal,48831
45,2001,1,AL,Industrial Power,Petroleum,37327
46,2001,1,AL,Industrial Power,Natural Gas,92784
47,2001,1,AL,Industrial Power,Other Gases,25283
